"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Clicking Finish on checkout summary redirects to order complete page.","2723","TC-045: finish button redirects to order confirmation page","SauceDemo","2026-01-29","passed","2026-01-29","Complete Order","Checkout Tests","",""
"Verify that clicking on a product navigates to its detail page.","2098","TC-014: should navigate to product detail page","SauceDemo","2026-01-29","passed","2026-01-29","Product Details","Product Catalog Tests","",""
"Checkout step two displays the order total amount.","2604","TC-043: order summary page shows item total","SauceDemo","2026-01-29","passed","2026-01-29","Order Summary","Checkout Tests","",""
"Verify that a product can be added to cart from the detail page.","2196","TC-016: should add product to cart from detail page","SauceDemo","2026-01-29","passed","2026-01-29","Product Details","Product Catalog Tests","",""
"Verify that an item can be removed from the cart page.","2431","TC-027: should remove item from cart page","SauceDemo","2026-01-29","passed","2026-01-29","Remove from Cart","Cart Tests","",""
"User is redirected to login page after clicking logout.","2782","TC-011: logout redirects to login page","SauceDemo","2026-01-29","passed","2026-01-29","Logout","Authentication Tests","",""
"Verify that order confirmation message is displayed.","2182","TC-046: should display order confirmation","SauceDemo","2026-01-29","passed","2026-01-29","Order Confirmation","Checkout Tests","",""
"All users with correct credentials are redirected to inventory page.","3451","TC-001: valid users redirect to inventory page after login","SauceDemo","2026-01-29","passed","2026-01-29","Valid Credentials","Authentication Tests","",""
"Verify that valid checkout information can be entered and submitted.","2172","TC-038: should enter valid checkout information","SauceDemo","2026-01-29","passed","2026-01-29","Shipping Information","Checkout Tests","",""
"Verify that a single item can be added to the cart.","1304","TC-023: should add single item to cart","SauceDemo","2026-01-29","passed","2026-01-29","Add to Cart","Cart Tests","",""
"Clicking cart icon in header redirects to cart page.","1306","TC-075: cart icon in header redirects to cart page","SauceDemo","2026-01-29","passed","2026-01-29","Menu Navigation","User Experience Tests","",""
"Cart page displays each item that was added from inventory.","2606","TC-029: cart page shows all added items","SauceDemo","2026-01-29","passed","2026-01-29","View Cart","Cart Tests","",""
"Verify that an item can be removed from cart while on inventory page.","1162","TC-026: should remove item from inventory page","SauceDemo","2026-01-29","passed","2026-01-29","Remove from Cart","Cart Tests","",""
"Verify that all 6 products are displayed on the inventory page.","1888","TC-013: should display all products on inventory page","SauceDemo","2026-01-29","passed","2026-01-29","Product Display","Product Catalog Tests","",""
"Verify that accessing inventory page without login redirects to login page.","1130","TC-051: should redirect to login when accessing inventory page directly","SauceDemo","2026-01-29","passed","2026-01-29","Protected Routes","Platform Tests","",""
"Verify that a locked out user cannot access the application.","1904","TC-010: should block locked out user","SauceDemo","2026-01-29","passed","2026-01-29","Account Security","Authentication Tests","",""
"Clicking Checkout from cart redirects to checkout information page.","1926","TC-033: checkout button redirects to checkout step one","SauceDemo","2026-01-29","passed","2026-01-29","View Cart","Cart Tests","",""
