"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Cart badge shows 0 when empty, increments on add, decrements on remove.","2645","TC-030: cart badge reflects number of items added and removed","SauceDemo","2026-01-06","passed","2026-01-06","View Cart","Cart Tests","",""
"Verify that user can return to inventory after completing order.","2515","TC-047: should return to home page after completing an order","SauceDemo","2026-01-06","passed","2026-01-06","Order Confirmation","Checkout Tests","",""
"Verify that login fails with correct username but wrong password.","1971","TC-006: should display error with wrong password","SauceDemo","2026-01-06","passed","2026-01-06","Invalid Credentials","Authentication Tests","",""
"Clicking Continue Shopping from cart redirects to inventory page.","2624","TC-032: continue shopping button redirects to inventory page","SauceDemo","2026-01-06","passed","2026-01-06","View Cart","Cart Tests","",""
"After checkout, Back Home returns to inventory with an empty cart badge.","2508","TC-078: cart is empty after completing purchase and returning to inventory","SauceDemo","2026-01-06","passed","2026-01-06","Complete Order","Checkout Tests","",""
"At iPhone 12/13 Pro viewport (390x844), inventory page shows items and menu opens/closes.","3583","TC-050: mobile viewport displays inventory items and toggles menu","SauceDemo","2026-01-06","passed","2026-01-06","Mobile Viewport","User Experience Tests","",""
"Verify that menu starts closed, opens when clicking burger icon, closes when clicking X.","3491","TC-048: hamburger menu toggles between open and closed states","SauceDemo","2026-01-06","passed","2026-01-06","Menu Navigation","User Experience Tests","",""
"Verify that checkout fails when last name is missing.","2260","TC-040: should validate missing last name","SauceDemo","2026-01-06","passed","2026-01-06","Shipping Information","Checkout Tests","",""
"Verify that products can be sorted alphabetically A to Z.","1913","TC-017: should sort products A-Z","SauceDemo","2026-01-06","passed","2026-01-06","Sort Products","Product Catalog Tests","",""
"Verify that login fails when password is not provided.","1409","TC-009: should display error with empty password","SauceDemo","2026-01-06","passed","2026-01-06","Invalid Credentials","Authentication Tests","",""
"Verify that payment and shipping information is displayed in summary.","2395","TC-053: should display payment and shipping information","SauceDemo","2026-01-06","passed","2026-01-06","Order Summary","Checkout Tests","",""
"Verify that login fails when username is not provided.","1411","TC-008: should display error with empty username","SauceDemo","2026-01-06","passed","2026-01-06","Invalid Credentials","Authentication Tests","",""
"Verify that inventory page loads within acceptable time (performance).","7775","TC-052: should load performance inventory page within acceptable time","SauceDemo","2026-01-06","passed","2026-01-06","Page Load Time","Platform Tests","",""
"Verify that cart contents persist after logout and login.","2958","TC-031: should persist cart after logout and login","SauceDemo","2026-01-06","passed","2026-01-06","Cart Persistence","Cart Tests","",""
"Clicking cart icon in header redirects to cart page.","1838","TC-075: cart icon in header redirects to cart page","SauceDemo","2026-01-06","passed","2026-01-06","Menu Navigation","User Experience Tests","",""
"Verify that app state can be reset from the menu.","3837","TC-049: should reset app state","SauceDemo","2026-01-06","passed","2026-01-06","Reset State","User Experience Tests","",""
"Verify that all items can be removed from the cart.","1079","TC-028: should remove all items from cart","SauceDemo","2026-01-06","passed","2026-01-06","Remove from Cart","Cart Tests","",""
"Cart item count matches number of products added from inventory.","2275","TC-036: cart shows 3 items when 3 products are added","SauceDemo","2026-01-06","passed","2026-01-06","View Cart","Cart Tests","",""
"Verify that removed item is no longer displayed in cart.","2172","TC-060: should verify item no longer in cart after removal","SauceDemo","2026-01-06","passed","2026-01-06","View Cart","Cart Tests","",""
"Verify that an item can be added to cart from the product detail page.","1982","TC-037: should add item from product detail page","SauceDemo","2026-01-06","passed","2026-01-06","Add to Cart","Cart Tests","",""
"Verify that adding the same item twice does not duplicate it in cart.","2065","TC-025: should not add same item twice","SauceDemo","2026-01-06","passed","2026-01-06","Add to Cart","Cart Tests","",""
"Verify that login fails with incorrect username.","1956","TC-007: should display error with wrong username","SauceDemo","2026-01-06","passed","2026-01-06","Invalid Credentials","Authentication Tests","",""
"Clicking Back to products from detail page redirects to inventory.","2115","TC-022: back to products button redirects to inventory page","SauceDemo","2026-01-06","passed","2026-01-06","Product Details","Product Catalog Tests","",""
"Verify that item can be removed from cart on product detail page.","2015","TC-072: should remove item from detail page","SauceDemo","2026-01-06","passed","2026-01-06","Product Details","Product Catalog Tests","",""
"Verify that user session persists after refreshing the page.","2392","TC-012: should persist session after page refresh","SauceDemo","2026-01-06","passed","2026-01-06","Session Management","Authentication Tests","",""
"Verify that user can cancel checkout and return to cart page.","2470","TC-042: should cancel checkout","SauceDemo","2026-01-06","passed","2026-01-06","Shipping Information","Checkout Tests","",""
"Verify that checkout fails when first name is missing.","2450","TC-039: should validate missing first name","SauceDemo","2026-01-06","passed","2026-01-06","Shipping Information","Checkout Tests","",""
"Verify that the ordered item appears in the order summary.","2662","TC-044: should display ordered product items in summary","SauceDemo","2026-01-06","passed","2026-01-06","Order Summary","Checkout Tests","",""
"Verify that products can be sorted by price from low to high.","2139","TC-019: should sort products by price low to high","SauceDemo","2026-01-06","passed","2026-01-06","Sort Products","Product Catalog Tests","",""
"Verify that multiple different items can be added to the cart.","2284","TC-024: should add multiple items to cart","SauceDemo","2026-01-06","passed","2026-01-06","Add to Cart","Cart Tests","",""
"Verify that products can be sorted by price from high to low.","1607","TC-020: should sort products by price high to low","SauceDemo","2026-01-06","passed","2026-01-06","Sort Products","Product Catalog Tests","",""
"Verify that checkout fails when postal code is missing.","2132","TC-041: should validate missing postal code","SauceDemo","2026-01-06","passed","2026-01-06","Shipping Information","Checkout Tests","",""
"Verify that products can be sorted alphabetically Z to A.","2244","TC-018: should sort products Z-A","SauceDemo","2026-01-06","passed","2026-01-06","Sort Products","Product Catalog Tests","",""
