"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC-029: cart page shows all added items","chromium","2026-01-03","skipped","2026-01-03","View Cart","","",""
"Verify that cart contents persist after logout and login.","3312","TC-031: should persist cart after logout and login","SauceDemo","2026-01-03","passed","2026-01-03","Cart Persistence","Cart Tests","",""
"","0","TC-043: order summary page shows item total","chromium","2026-01-03","skipped","2026-01-03","Order Summary","","",""
"","0","TC-053: should display payment and shipping information","chromium","2026-01-03","skipped","2026-01-03","Order Summary","","",""
"Verify that products can be sorted alphabetically A to Z.","1806","TC-017: should sort products A-Z","SauceDemo","2026-01-03","passed","2026-01-03","Sort Products","Product Catalog Tests","",""
"Checkout step two displays the order total amount.","2259","TC-043: order summary page shows item total","SauceDemo","2026-01-03","passed","2026-01-03","Order Summary","Checkout Tests","",""
"","0","TC-019: should sort products by price low to high","chromium","2026-01-03","skipped","2026-01-03","Sort Products","","",""
"","1","TC-022: back to products button redirects to inventory page","chromium","2026-01-03","skipped","2026-01-03","Product Details","","",""
"","0","TC-037: should add item from product detail page","chromium","2026-01-03","skipped","2026-01-03","Add to Cart","","",""
"Verify that accessing inventory page without login redirects to login page.","1167","TC-051: should redirect to login when accessing inventory page directly","SauceDemo","2026-01-03","passed","2026-01-03","Protected Routes","Platform Tests","",""
"Verify that checkout fails when postal code is missing.","2736","TC-041: should validate missing postal code","SauceDemo","2026-01-03","passed","2026-01-03","Shipping Information","Checkout Tests","",""
"Cart page displays each item that was added from inventory.","1963","TC-029: cart page shows all added items","SauceDemo","2026-01-03","passed","2026-01-03","View Cart","Cart Tests","",""
"","0","TC-038: should enter valid checkout information","chromium","2026-01-03","skipped","2026-01-03","Shipping Information","","",""
"Verify that login fails when password is not provided.","1369","TC-009: should display error with empty password","SauceDemo","2026-01-03","passed","2026-01-03","Invalid Credentials","Authentication Tests","",""
"Verify that checkout fails when last name is missing.","2141","TC-040: should validate missing last name","SauceDemo","2026-01-03","passed","2026-01-03","Shipping Information","Checkout Tests","",""
"Verify that login fails with incorrect username.","1411","TC-007: should display error with wrong username","SauceDemo","2026-01-03","passed","2026-01-03","Invalid Credentials","Authentication Tests","",""
"Cart page displays 0 items when user has not added any products.","1707","TC-035: cart page shows zero items when no products added","SauceDemo","2026-01-03","passed","2026-01-03","View Cart","Cart Tests","",""
"","0","TC-006: should display error with wrong password","chromium","2026-01-03","skipped","2026-01-03","Invalid Credentials","","",""
"","0","TC-048: hamburger menu toggles between open and closed states","chromium","2026-01-03","skipped","2026-01-03","Menu Navigation","","",""
"Verify that menu starts closed, opens when clicking burger icon, closes when clicking X.","3566","TC-048: hamburger menu toggles between open and closed states","SauceDemo","2026-01-03","passed","2026-01-03","Menu Navigation","User Experience Tests","",""
"","0","TC-039: should validate missing first name","chromium","2026-01-03","skipped","2026-01-03","Shipping Information","","",""
"Clicking Continue Shopping from cart redirects to inventory page.","2253","TC-032: continue shopping button redirects to inventory page","SauceDemo","2026-01-03","passed","2026-01-03","View Cart","Cart Tests","",""
"Verify that the ordered item appears in the order summary.","2134","TC-044: should display ordered product items in summary","SauceDemo","2026-01-03","passed","2026-01-03","Order Summary","Checkout Tests","",""
"","0","TC-052: should load performance inventory page within acceptable time","chromium","2026-01-03","skipped","2026-01-03","Page Load Time","","",""
"","0","TC-046: should display order confirmation","chromium","2026-01-03","skipped","2026-01-03","Order Confirmation","","",""
"Verify that an item can be removed from cart while on inventory page.","1149","TC-026: should remove item from inventory page","SauceDemo","2026-01-03","passed","2026-01-03","Remove from Cart","Cart Tests","",""
"Verify that login fails when username is not provided.","1390","TC-008: should display error with empty username","SauceDemo","2026-01-03","passed","2026-01-03","Invalid Credentials","Authentication Tests","",""
"","0","TC-036: cart shows 3 items when 3 products are added","chromium","2026-01-03","skipped","2026-01-03","View Cart","","",""
"After checkout, Back Home returns to inventory with an empty cart badge.","2328","TC-078: cart is empty after completing purchase and returning to inventory","SauceDemo","2026-01-03","passed","2026-01-03","Complete Order","Checkout Tests","",""
"At iPhone 12/13 Pro viewport (390x844), inventory page shows items and menu opens/closes.","3369","TC-050: mobile viewport displays inventory items and toggles menu","SauceDemo","2026-01-03","passed","2026-01-03","Mobile Viewport","User Experience Tests","",""
"","0","TC-014: should navigate to product detail page","chromium","2026-01-03","skipped","2026-01-03","Product Details","","",""
"","1","TC-012: should persist session after page refresh","chromium","2026-01-03","skipped","2026-01-03","Session Management","","",""
"Verify that multiple different items can be added to the cart.","1859","TC-024: should add multiple items to cart","SauceDemo","2026-01-03","passed","2026-01-03","Add to Cart","Cart Tests","",""
