"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","TC-041: should validate missing postal code","chromium","2026-01-02","skipped","2026-01-02","Shipping Information","","",""
"","1","TC-029: cart page shows all added items","chromium","2026-01-02","skipped","2026-01-02","View Cart","","",""
"","1","TC-023: should add single item to cart","chromium","2026-01-02","skipped","2026-01-02","Add to Cart","","",""
"","0","TC-007: should display error with wrong username","chromium","2026-01-02","skipped","2026-01-02","Invalid Credentials","","",""
"Verify that login fails when username is not provided.","659","TC-008: should display error with empty username","SauceDemo","2026-01-02","passed","2026-01-02","Invalid Credentials","Authentication Tests","",""
"","0","TC-047: should return to home page after completing an order","chromium","2026-01-02","skipped","2026-01-02","Order Confirmation","","",""
"","0","TC-053: should display payment and shipping information","chromium","2026-01-02","skipped","2026-01-02","Order Summary","","",""
"","0","TC-048: hamburger menu toggles between open and closed states","chromium","2026-01-02","skipped","2026-01-02","Menu Navigation","","",""
"Verify that login fails with correct username but wrong password.","685","TC-006: should display error with wrong password","SauceDemo","2026-01-02","passed","2026-01-02","Invalid Credentials","Authentication Tests","",""
"","0","TC-042: should cancel checkout","chromium","2026-01-02","skipped","2026-01-02","Shipping Information","","",""
"","1","TC-075: cart icon in header redirects to cart page","chromium","2026-01-02","skipped","2026-01-02","Menu Navigation","","",""
"","0","TC-046: should display order confirmation","chromium","2026-01-02","skipped","2026-01-02","Order Confirmation","","",""
"","0","TC-036: cart shows 3 items when 3 products are added","chromium","2026-01-02","skipped","2026-01-02","View Cart","","",""
"","0","TC-037: should add item from product detail page","chromium","2026-01-02","skipped","2026-01-02","Add to Cart","","",""
"Verify that user session persists after refreshing the page.","1002","TC-012: should persist session after page refresh","SauceDemo","2026-01-02","passed","2026-01-02","Session Management","Authentication Tests","",""
"","0","TC-039: should validate missing first name","chromium","2026-01-02","skipped","2026-01-02","Shipping Information","","",""
"","0","TC-033: checkout button redirects to checkout step one","chromium","2026-01-02","skipped","2026-01-02","View Cart","","",""
"","0","TC-018: should sort products Z-A","chromium","2026-01-02","skipped","2026-01-02","Sort Products","","",""
"User is redirected to login page after clicking logout.","1750","TC-011: logout redirects to login page","SauceDemo","2026-01-02","passed","2026-01-02","Logout","Authentication Tests","",""
"","0","TC-072: should remove item from detail page","chromium","2026-01-02","skipped","2026-01-02","Product Details","","",""
"","0","TC-027: should remove item from cart page","chromium","2026-01-02","skipped","2026-01-02","Remove from Cart","","",""
"","1","TC-011: logout redirects to login page","chromium","2026-01-02","skipped","2026-01-02","Logout","","",""
"","0","TC-030: cart badge reflects number of items added and removed","chromium","2026-01-02","skipped","2026-01-02","View Cart","","",""
"","0","TC-049: should reset app state","chromium","2026-01-02","skipped","2026-01-02","Reset State","","",""
"Verify that accessing inventory page without login redirects to login page.","553","TC-051: should redirect to login when accessing inventory page directly","SauceDemo","2026-01-02","passed","2026-01-02","Protected Routes","Platform Tests","",""
"","1","TC-032: continue shopping button redirects to inventory page","chromium","2026-01-02","skipped","2026-01-02","View Cart","","",""
"","0","TC-016: should add product to cart from detail page","chromium","2026-01-02","skipped","2026-01-02","Product Details","","",""
"","0","TC-078: cart is empty after completing purchase and returning to inventory","chromium","2026-01-02","skipped","2026-01-02","Complete Order","","",""
"Verify that cart contents persist after logout and login.","2011","TC-031: should persist cart after logout and login","SauceDemo","2026-01-02","passed","2026-01-02","Cart Persistence","Cart Tests","",""
"","0","TC-045: finish button redirects to order confirmation page","chromium","2026-01-02","skipped","2026-01-02","Complete Order","","",""
"","0","TC-040: should validate missing last name","chromium","2026-01-02","skipped","2026-01-02","Shipping Information","","",""
"","0","TC-055: order confirmation page shows thank you message","chromium","2026-01-02","skipped","2026-01-02","Order Confirmation","","",""
"Verify that a locked out user cannot access the application.","659","TC-010: should block locked out user","SauceDemo","2026-01-02","passed","2026-01-02","Account Security","Authentication Tests","",""
"","0","TC-025: should not add same item twice","chromium","2026-01-02","skipped","2026-01-02","Add to Cart","","",""
"","0","TC-038: should enter valid checkout information","chromium","2026-01-02","skipped","2026-01-02","Shipping Information","","",""
"","0","TC-014: should navigate to product detail page","chromium","2026-01-02","skipped","2026-01-02","Product Details","","",""
"","0","TC-012: should persist session after page refresh","chromium","2026-01-02","skipped","2026-01-02","Session Management","","",""
"Verify that login fails with incorrect username.","657","TC-007: should display error with wrong username","SauceDemo","2026-01-02","passed","2026-01-02","Invalid Credentials","Authentication Tests","",""
"","0","TC-026: should remove item from inventory page","chromium","2026-01-02","skipped","2026-01-02","Remove from Cart","","",""
"","0","TC-031: should persist cart after logout and login","chromium","2026-01-02","skipped","2026-01-02","Cart Persistence","","",""
"","0","TC-006: should display error with wrong password","chromium","2026-01-02","skipped","2026-01-02","Invalid Credentials","","",""
"","0","TC-052: should load performance inventory page within acceptable time","chromium","2026-01-02","skipped","2026-01-02","Page Load Time","","",""
